source,target,confidence,note
reference/review_assets/canonical_from_jar_png/offline/110000.png,client/assets/npc/110000.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110000; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110010.png,client/assets/npc/110010.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110010; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110020.png,client/assets/npc/110020.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110020; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110030.png,client/assets/npc/110030.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110030; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110040.png,client/assets/npc/110040.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110040; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110050.png,client/assets/npc/110050.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110050; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110060.png,client/assets/npc/110060.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110060; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110070.png,client/assets/npc/110070.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110070; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110080.png,client/assets/npc/110080.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110080; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110090.png,client/assets/npc/110090.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110090; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110100.png,client/assets/npc/110100.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110100; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110110.png,client/assets/npc/110110.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110110; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110120.png,client/assets/npc/110120.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110120; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110130.png,client/assets/npc/110130.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110130; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110140.png,client/assets/npc/110140.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110140; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110150.png,client/assets/npc/110150.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110150; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/offline/110160.png,client/assets/npc/110160.png,confirmed_npc_sprite,"Numbered NPC sprite from /offline/110160; map/name role pending server catalog evidence."
reference/review_assets/canonical_from_jar_png/dialog/corner.png,client/assets/npc/00_ui_confirmed/dialog/corner.png,confirmed_runtime,NPC dialog frame corner. Loaded from /dialog/corner by pc.java.
reference/review_assets/canonical_from_jar_png/blacksmith.png,client/assets/npc/01_named_npc_confirmed/blacksmith/blacksmith.png,confirmed_runtime,"Blacksmith visual evidence. Not part of numbered 110xxx NPC sprite set."
reference/review_assets/canonical_from_jar_png/effblacksmith.png,client/assets/npc/01_named_npc_confirmed/blacksmith/effblacksmith.png,confirmed_runtime,"Blacksmith effect evidence. Not part of numbered 110xxx NPC sprite set."
reference/review_assets/canonical_from_jar_png/monster.png,client/assets/npc/02_shared_actor_sheets/type_0_monster/monster.png,confirmed_runtime,"Shared actor sheet for jo.c >> 1 == 0. Not a numbered 110xxx NPC sprite."
reference/review_assets/canonical_from_jar_png/zap.png,client/assets/npc/02_shared_actor_sheets/type_1_zap/zap.png,confirmed_runtime,"Shared actor sheet for jo.c >> 1 == 1. Not a numbered 110xxx NPC sprite."
reference/review_assets/canonical_from_jar_png/ice.png,client/assets/npc/02_shared_actor_sheets/type_2_ice/ice.png,confirmed_runtime,"Shared actor sheet for default jo.c >> 1 branch. Not a numbered 110xxx NPC sprite."
reference/review_assets/canonical_from_jar_png/magicgate.png,client/assets/npc/03_interactive_map_objects/magicgate/magicgate.png,interactive_prop,"Teleport gate animation. Not a numbered talking NPC sprite."
reference/review_assets/canonical_from_jar_png/gate.png,client/assets/npc/03_interactive_map_objects/gate/gate.png,interactive_prop,"Generic map gate. Not a numbered talking NPC sprite."
