meta_id,base_image_id,family_count,family_slot,frame_width_divisor,frame_count
79899,79800,10,0,2,2
79899,79800,10,1,6,6
79899,79800,10,2,4,4
79899,79800,10,3,2,2
79899,79800,10,4,3,3
79899,79800,10,5,4,4
79899,79800,10,6,3,3
79899,79800,10,7,1,1
79899,79800,10,8,1,1
79899,79800,10,9,1,1
79999,79900,10,0,2,2
79999,79900,10,1,5,6
79999,79900,10,2,4,4
79999,79900,10,3,2,2
79999,79900,10,4,3,3
79999,79900,10,5,4,4
79999,79900,10,6,3,3
79999,79900,10,7,1,1
79999,79900,10,8,1,1
79999,79900,10,9,1,1
89999,89900,10,0,1,2
89999,89900,10,1,1,6
89999,89900,10,2,4,4
89999,89900,10,3,2,2
89999,89900,10,4,3,3
89999,89900,10,5,1,4
89999,89900,10,6,2,3
89999,89900,10,7,1,1
89999,89900,10,8,1,1
89999,89900,10,9,1,1
90999,90900,10,0,2,2
90999,90900,10,1,3,6
90999,90900,10,2,4,4
90999,90900,10,3,2,2
90999,90900,10,4,3,3
90999,90900,10,5,4,4
90999,90900,10,6,3,3
90999,90900,10,7,1,1
90999,90900,10,8,1,1
90999,90900,10,9,1,1
91099,91000,10,0,1,2
91099,91000,10,1,2,6
91099,91000,10,2,4,4
91099,91000,10,3,2,2
91099,91000,10,4,3,3
91099,91000,10,5,1,4
91099,91000,10,6,2,3
91099,91000,10,7,1,1
91099,91000,10,8,1,1
91099,91000,10,9,1,1
91299,91200,10,0,1,2
91299,91200,10,1,2,6
91299,91200,10,2,3,4
91299,91200,10,3,1,2
91299,91200,10,4,1,3
91299,91200,10,5,2,4
91299,91200,10,6,2,3
91299,91200,10,7,1,1
91299,91200,10,8,1,1
91299,91200,10,9,1,1
94399,94300,10,0,1,2
94399,94300,10,1,1,6
94399,94300,10,2,3,4
94399,94300,10,3,1,2
94399,94300,10,4,1,3
94399,94300,10,5,1,4
94399,94300,10,6,1,3
94399,94300,10,7,1,1
94399,94300,10,8,1,1
94399,94300,10,9,1,1
97199,97100,10,0,2,2
97199,97100,10,1,3,6
97199,97100,10,2,4,4
97199,97100,10,3,2,2
97199,97100,10,4,3,3
97199,97100,10,5,4,4
97199,97100,10,6,3,3
97199,97100,10,7,1,1
97199,97100,10,8,1,1
97199,97100,10,9,1,1
97499,97400,10,0,1,2
97499,97400,10,1,3,6
97499,97400,10,2,4,4
97499,97400,10,3,2,2
97499,97400,10,4,3,3
97499,97400,10,5,4,4
97499,97400,10,6,3,3
97499,97400,10,7,1,1
97499,97400,10,8,1,1
97499,97400,10,9,1,1
97599,97500,10,0,1,2
97599,97500,10,1,3,6
97599,97500,10,2,4,4
97599,97500,10,3,2,2
97599,97500,10,4,3,3
97599,97500,10,5,1,4
97599,97500,10,6,3,3
97599,97500,10,7,1,1
97599,97500,10,8,1,1
97599,97500,10,9,1,1
98099,98000,10,0,1,2
98099,98000,10,1,3,6
98099,98000,10,2,4,4
98099,98000,10,3,2,2
98099,98000,10,4,2,3
98099,98000,10,5,1,4
98099,98000,10,6,2,3
98099,98000,10,7,1,1
98099,98000,10,8,1,1
98099,98000,10,9,1,1
98199,98100,10,0,1,2
98199,98100,10,1,3,6
98199,98100,10,2,4,4
98199,98100,10,3,2,2
98199,98100,10,4,3,3
98199,98100,10,5,4,4
98199,98100,10,6,3,3
98199,98100,10,7,1,1
98199,98100,10,8,1,1
98199,98100,10,9,1,1
98299,98200,10,0,1,2
98299,98200,10,1,3,6
98299,98200,10,2,4,4
98299,98200,10,3,2,2
98299,98200,10,4,3,3
98299,98200,10,5,4,4
98299,98200,10,6,3,3
98299,98200,10,7,1,1
98299,98200,10,8,1,1
98299,98200,10,9,1,1
98399,98300,10,0,1,2
98399,98300,10,1,3,6
98399,98300,10,2,3,4
98399,98300,10,3,1,2
98399,98300,10,4,2,3
98399,98300,10,5,4,4
98399,98300,10,6,1,3
98399,98300,10,7,1,1
98399,98300,10,8,1,1
98399,98300,10,9,1,1
99999,99900,10,0,1,2
99999,99900,10,1,2,6
99999,99900,10,2,4,4
99999,99900,10,3,1,2
99999,99900,10,4,3,3
99999,99900,10,5,4,4
99999,99900,10,6,3,3
99999,99900,10,7,1,1
99999,99900,10,8,1,1
99999,99900,10,9,1,1
